"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per"
"Aston Villa","Tyrone Mings",6,481,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,27,3,0,0,0,0,0,0.05,0.02,0.07,0.05
"Aston Villa","Amadou Onana",3,235,0,0,0,0,0,0,0.2,0.2,0,0.2,2,9,1,0,0,0,0,0,0.09,0,0.09,0.09
"Aston Villa","Bradley Paul Burrowes",0,17,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"Aston Villa","Morgan Rogers",8,711,1,2,3,1,0,0,0.5,0.5,1,1.5,12,23,43,0.13,0.25,0.38,0.13,0.38,0.06,0.13,0.19,0.06
"Aston Villa","Jadon Sancho",0,9,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0.21,0,0.21,0.21
"Aston Villa","Youri Tielemans",4,315,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,21,10,0,0,0,0,0,0.04,0.05,0.09,0.04
"Aston Villa","Pau Torres",3,346,0,0,0,0,0,0,0.1,0.1,0,0.1,7,19,2,0,0,0,0,0,0.03,0,0.03,0.03
"Aston Villa","Ollie Watkins",7,628,1,0,1,1,0,0,1.6,1.6,0.4,2,12,8,45,0.14,0,0.14,0.14,0.14,0.23,0.05,0.28,0.23
"Bournemouth","Tyler Adams",8,693,0,0,0,0,0,0,0.1,0.1,0,0.2,3,33,6,0,0,0,0,0,0.02,0.01,0.02,0.02
"Bournemouth","Amine Adli",1,167,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,5,18,0,0,0,0,0,0.06,0.1,0.15,0.06
"Bournemouth","David Brooks",6,454,0,1,1,0,0,0,0.9,0.9,1.4,2.3,15,16,46,0,0.2,0.2,0,0.2,0.17,0.28,0.45,0.17
"Bournemouth","Ryan Christie",1,177,1,0,1,1,0,0,0.8,0.8,0,0.9,4,12,5,0.51,0,0.51,0.51,0.51,0.43,0.01,0.44,0.43
"Bournemouth","Lewis Cook",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bournemouth","Bafodé Diakité",7,630,0,0,0,0,0,0,0,0,0.1,0.1,1,19,2,0,0,0,0,0,0,0.02,0.02,0
"Bournemouth","Evanilson",7,616,1,0,1,1,0,0,1.3,1.3,0.8,2,4,7,21,0.15,0,0.15,0.15,0.15,0.18,0.11,0.3,0.18
"Bournemouth","Ben Gannon-Doak",0,46,0,1,1,0,0,0,0.1,0.1,0.6,0.7,2,1,5,0,1.96,1.96,0,1.96,0.17,1.12,1.29,0.17
"Bournemouth","James Hill",2,276,0,0,0,0,0,0,0.1,0.1,0,0.1,3,17,8,0,0,0,0,0,0.04,0,0.04,0.04
"Bournemouth","Álex Jiménez",3,225,0,0,0,0,0,0,0.1,0.1,0.1,0.1,11,11,4,0,0,0,0,0,0.03,0.02,0.05,0.03
"Bournemouth","Eli Junior Kroupi",1,98,3,0,3,3,0,0,1.3,1.3,0,1.3,1,0,5,2.76,0,2.76,2.76,2.76,1.21,0,1.21,1.21
"Bournemouth","Hamed Junior Traorè",0,17,0,1,1,0,0,0,0,0,0.2,0.2,0,0,0,0,5.29,5.29,0,5.29,0,1.1,1.1,0
"Bournemouth","Justin Kluivert",2,239,1,0,1,1,0,0,0.3,0.3,0.3,0.7,9,7,19,0.38,0,0.38,0.38,0.38,0.12,0.13,0.25,0.12
"Bournemouth","Veljko Milosavljević",1,96,0,0,0,0,0,0,0,0,0.1,0.1,0,3,0,0,0,0,0,0,0,0.05,0.05,0
"Bournemouth","Đorđe Petrović",8,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bournemouth","Alex Scott",7,515,1,0,1,1,0,0,0.4,0.4,0.4,0.8,12,15,16,0.17,0,0.17,0.17,0.17,0.07,0.06,0.14,0.07
"Bournemouth","Antoine Semenyo",8,720,6,3,9,5,1,1,3.8,3,0.5,3.4,25,29,47,0.75,0.37,1.13,0.62,1,0.47,0.06,0.53,0.37
"Bournemouth","Marcos Senesi",8,707,0,2,2,0,0,0,0.2,0.2,0.3,0.5,5,42,2,0,0.25,0.25,0,0.25,0.02,0.04,0.06,0.02
"Bournemouth","Adam Smith",3,204,0,0,0,0,0,0,0,0,0.3,0.3,1,6,2,0,0,0,0,0,0,0.12,0.12,0
"Bournemouth","Julio Soler",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bournemouth","Marcus Tavernier",7,587,1,1,2,1,0,0,0.9,0.9,1.2,2.1,18,28,40,0.15,0.15,0.31,0.15,0.31,0.14,0.19,0.33,0.14
"Bournemouth","Adrien Truffert",8,720,0,1,1,0,0,0,0,0,0.6,0.7,20,42,45,0,0.12,0.12,0,0.12,0.01,0.08,0.09,0.01
"Bournemouth","Ben Winterburn",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brentford","Kristoffer Ajer",3,299,0,1,1,0,0,0,0.4,0.4,0.7,1.1,3,12,3,0,0.3,0.3,0,0.3,0.12,0.2,0.32,0.12
"Brentford","Fabio Carvalho",1,97,1,0,1,1,0,0,0.7,0.7,0,0.7,2,2,5,0.93,0,0.93,0.93,0.93,0.65,0,0.65,0.65
"Brentford","Nathan Collins",9,810,0,0,0,0,0,0,0.3,0.3,0.5,0.8,2,17,1,0,0,0,0,0,0.03,0.06,0.09,0.03
"Brentford","Mikkel Damsgaard",7,566,1,1,2,1,0,0,0.4,0.4,1.4,1.8,15,27,25,0.16,0.16,0.32,0.16,0.32,0.06,0.22,0.28,0.06
"Brentford","Sepp van den Berg",9,810,0,0,0,0,0,0,1,1,0.1,1.1,3,17,6,0,0,0,0,0,0.11,0.01,0.12,0.11
"Brentford","Jordan Henderson",8,655,0,2,2,0,0,0,0.1,0.1,0.6,0.6,5,36,4,0,0.27,0.27,0,0.27,0.01,0.08,0.09,0.01
"Brentford","Rico Henry",1,173,0,0,0,0,0,0,0.1,0.1,0.1,0.3,12,2,11,0,0,0,0,0,0.07,0.07,0.13,0.07
"Brentford","Aaron Hickey",2,187,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0.01,0,0.01,0.01
"Brentford","Vitaly Janelt",0,121,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,5,1,0,0,0,0,0,0.08,0.05,0.13,0.08
"Brentford","Mathias Jensen",2,189,2,0,2,2,0,0,0.5,0.5,0.2,0.7,4,14,4,0.95,0,0.95,0.95,0.95,0.25,0.09,0.34,0.25
"Brentford","Michael Kayode",9,796,0,0,0,0,0,0,0.1,0.1,1.4,1.5,16,18,36,0,0,0,0,0,0.01,0.16,0.17,0.01
"Brentford","Caoimhín Kelleher",9,810,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Brentford","Keane Lewis-Potter",5,426,0,1,1,0,0,0,0.2,0.2,0.6,0.7,7,7,16,0,0.21,0.21,0,0.21,0.04,0.12,0.15,0.04
"Brentford","Antoni Milambo",1,45,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
"Brentford","Frank Onyeka",0,92,0,1,1,0,0,0,0,0,0.1,0.1,2,4,2,0,0.98,0.98,0,0.98,0,0.12,0.12,0
"Brentford","Dango Ouattara",5,478,2,0,2,2,0,0,2.4,2.4,0.7,3.2,15,7,32,0.38,0,0.38,0.38,0.38,0.46,0.14,0.6,0.46
"Brentford","Ethan Pinnock",2,155,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Brentford","Kevin Schade",8,740,2,1,3,2,0,1,2.8,2,1.1,3.1,17,6,29,0.24,0.12,0.36,0.24,0.36,0.34,0.13,0.47,0.24
"Brentford","Thiago",9,742,6,0,6,4,2,2,4.4,2.9,1.1,3.9,4,7,27,0.73,0,0.73,0.49,0.49,0.54,0.13,0.67,0.35
"Brentford","Yehor Yarmoliuk",9,719,0,1,1,0,0,0,0.2,0.2,0.3,0.6,10,29,7,0,0.13,0.13,0,0.13,0.03,0.04,0.07,0.03
"Brighton","Yasin Ayari",7,693,1,0,1,1,0,0,0.6,0.6,0.3,0.9,7,26,13,0.13,0,0.13,0.13,0.13,0.08,0.04,0.12,0.08
"Brighton","Carlos Baleba",8,481,0,0,0,0,0,0,0.1,0.1,0,0.2,6,10,5,0,0,0,0,0,0.02,0.01,0.03,0.02
"Brighton","Diego Coppola",0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Brighton","Maxim De Cuyper",5,409,1,0,1,1,0,0,0.7,0.7,0.4,1.1,4,19,13,0.22,0,0.22,0.22,0.22,0.16,0.08,0.24,0.16
"Brighton","Lewis Dunk",9,810,0,0,0,0,0,0,0.6,0.6,0,0.6,4,29,1,0,0,0,0,0,0.06,0,0.07,0.06
"Brighton","Diego Gómez",4,377,0,0,0,0,0,0,0.3,0.3,0.5,0.7,4,11,14,0,0,0,0,0,0.07,0.11,0.18,0.07
"Brighton","Brajan Gruda",2,223,1,1,2,1,0,0,1.4,1.4,0.5,1.9,8,6,26,0.4,0.4,0.81,0.4,0.81,0.57,0.18,0.75,0.57
"Brighton","Jan Paul van Hecke",9,810,1,0,1,1,0,0,0.4,0.4,0,0.5,20,65,3,0.11,0,0.11,0.11,0.11,0.05,0.01,0.05,0.05
"Brighton","Jack Hinshelwood",2,107,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
"Brighton","Ferdi Kadioglu",5,557,0,0,0,0,0,0,0.3,0.3,0.4,0.6,17,29,29,0,0,0,0,0,0.04,0.06,0.1,0.04
"Brighton","Charalampos Kostoulas",0,13,1,0,1,1,0,0,0.2,0.2,0,0.2,1,0,2,6.92,0,6.92,6.92,6.92,1.72,0,1.72,1.72
"Brighton","James Milner",1,193,1,1,2,0,1,1,0.8,0,0.2,0.2,2,9,5,0.47,0.47,0.93,0,0.47,0.37,0.1,0.47,0
"Brighton","Yankuba Minteh",9,770,1,2,3,1,0,0,1.7,1.7,2.1,3.8,47,11,81,0.12,0.23,0.35,0.12,0.35,0.2,0.24,0.45,0.2
"Brighton","Kaoru Mitoma",6,508,1,1,2,1,0,0,0.8,0.8,1.1,1.8,13,13,37,0.18,0.18,0.35,0.18,0.35,0.13,0.19,0.32,0.13
"Brighton","Matt O'Riley",2,177,1,0,1,0,1,1,1.2,0.4,0.2,0.6,0,5,11,0.51,0,0.51,0,0,0.61,0.1,0.72,0.21
"Brighton","Georginio Rutter",6,515,0,2,2,0,0,0,0.4,0.4,1.8,2.2,12,26,23,0,0.35,0.35,0,0.35,0.06,0.32,0.38,0.06
"Brighton","Stefanos Tzimas",0,75,0,1,1,0,0,0,0.4,0.4,0.3,0.7,1,0,4,0,1.2,1.2,0,1.2,0.45,0.39,0.84,0.45
"Brighton","Joël Veltman",4,324,0,0,0,0,0,0,0,0,0,0,5,14,2,0,0,0,0,0,0,0.01,0.01,0
"Brighton","Bart Verbruggen",9,810,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.02,0.02,0
"Brighton","Tom Watson",0,32,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0.1,0,0.1,0.1
"Brighton","Danny Welbeck",6,547,5,0,5,5,0,1,3.2,2.5,0.3,2.7,4,8,20,0.82,0,0.82,0.82,0.82,0.53,0.04,0.57,0.4
"Brighton","Mats Wieffer",5,461,0,1,1,0,0,0,0.2,0.2,0.8,0.9,13,29,20,0,0.2,0.2,0,0.2,0.03,0.15,0.18,0.03
"Burnley","Jaidon Anthony",8,669,4,1,5,4,0,0,2.1,2.1,0.3,2.4,16,11,35,0.54,0.13,0.67,0.54,0.67,0.28,0.05,0.32,0.28
"Burnley","Ashley Barnes",0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Burnley","Armando Broja",0,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Burnley","Jacob Bruun Larsen",3,295,0,1,1,0,0,0,0.1,0.1,0.6,0.7,3,5,21,0,0.31,0.31,0,0.31,0.03,0.19,0.22,0.03
"Burnley","Josh Cullen",8,680,1,1,2,1,0,0,0.1,0.1,0.8,0.9,2,39,5,0.13,0.13,0.26,0.13,0.26,0.02,0.11,0.13,0.02
"Burnley","Martin Dúbravka",8,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burnley","Marcus Edwards",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burnley","Hjalmar Ekdal",6,532,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,6,0,0,0,0,0,0,0.03,0.02,0.06,0.03
"Burnley","Maxime Estève",8,711,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,16,0,0,0,0,0,0,0.03,0.01,0.03,0.03
"Burnley","Zian Flemming",1,112,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,0,4,0,0,0,0,0,0.15,0.06,0.21,0.15
"Burnley","Lyle Foster",7,565,1,1,2,1,0,0,0.9,0.9,0.6,1.6,7,6,30,0.16,0.16,0.32,0.16,0.32,0.15,0.1,0.25,0.15
"Burnley","Quilindschy Hartman",8,717,0,2,2,0,0,0,0.1,0.1,0.6,0.8,1,16,19,0,0.25,0.25,0,0.25,0.02,0.08,0.1,0.02
"Burnley","Bashir Humphreys",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burnley","Josh Laurent",5,464,0,0,0,0,0,0,0.2,0.2,0.2,0.3,5,8,9,0,0,0,0,0,0.03,0.03,0.06,0.03
"Burnley","Florentino Luís",4,388,0,1,1,0,0,0,0,0,0.1,0.1,1,18,2,0,0.23,0.23,0,0.23,0,0.02,0.02,0
"Burnley","Hannibal Mejbri",3,257,0,0,0,0,0,0,0.2,0.2,0.4,0.5,6,5,8,0,0,0,0,0,0.06,0.13,0.18,0.06
"Burnley","Oliver Sonne",1,104,0,0,0,0,0,0,0,0,0,0.1,0,4,3,0,0,0,0,0,0.03,0.03,0.06,0.03
"Burnley","Loum Tchaouna",4,345,1,0,1,1,0,0,0.3,0.3,0.1,0.5,4,7,12,0.26,0,0.26,0.26,0.26,0.09,0.03,0.12,0.09
"Burnley","Axel Tuanzebe",2,180,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Burnley","Lesley Ugochukwu",4,370,2,0,2,2,0,0,0.7,0.7,0,0.7,2,9,6,0.49,0,0.49,0.49,0.49,0.17,0.01,0.17,0.17
"Burnley","Kyle Walker",8,720,0,1,1,0,0,0,0.1,0.1,0.4,0.5,10,21,12,0,0.12,0.12,0,0.12,0.02,0.05,0.06,0.02
"Burnley","Joe Worrall",0,22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Chelsea","Joshua Acheampong",4,349,1,0,1,1,0,0,0.6,0.6,0,0.6,4,11,0,0.26,0,0.26,0.26,0.26,0.16,0,0.16,0.16
"Chelsea","Tosin Adarabioyo",3,379,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0.01,0,0.01,0.01
"Chelsea","Benoît Badiashile",1,66,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
