"Squad","Player","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"Brentford","Yehor Yarmoliuk",13,3,0,3,3,6,33.3
"Brighton","Yasin Ayari",8,12,0,18,4,6,40
"Brighton","Carlos Baleba",13,5,0,0,10,5,66.7
"Brighton","Diego Coppola",0,0,0,0,3,0,100
"Brighton","Maxim De Cuyper",7,7,1,15,3,6,33.3
"Brighton","Lewis Dunk",5,3,0,0,15,8,65.2
"Brighton","Diego Gómez",9,6,1,4,6,8,42.9
"Brighton","Brajan Gruda",2,5,1,5,1,0,100
"Brighton","Jan Paul van Hecke",6,13,2,6,28,26,51.9
"Brighton","Jack Hinshelwood",3,1,0,0,2,1,66.7
"Brighton","Ferdi Kadioglu",7,8,2,18,3,8,27.3
"Brighton","Charalampos Kostoulas",1,0,0,0,3,2,60
"Brighton","James Milner",4,2,0,7,1,5,16.7
"Brighton","Yankuba Minteh",11,10,4,38,10,8,55.6
"Brighton","Kaoru Mitoma",11,3,1,8,3,7,30
"Brighton","Matt O'Riley",1,0,1,6,1,5,16.7
"Brighton","Georginio Rutter",8,9,4,3,6,8,42.9
"Brighton","Stefanos Tzimas",2,0,0,0,0,2,0
"Brighton","Joël Veltman",2,9,1,3,3,3,50
"Brighton","Bart Verbruggen",0,1,0,0,2,0,100
"Brighton","Tom Watson",0,0,0,0,0,0,NA
"Brighton","Danny Welbeck",7,2,0,0,3,11,21.4
"Brighton","Mats Wieffer",7,2,2,3,10,13,43.5
"Burnley","Jaidon Anthony",7,12,2,19,4,8,33.3
"Burnley","Ashley Barnes",1,0,0,0,4,1,80
"Burnley","Armando Broja",0,0,1,0,1,3,25
"Burnley","Jacob Bruun Larsen",0,0,2,6,3,7,30
"Burnley","Josh Cullen",4,10,0,4,6,6,50
"Burnley","Martin Dúbravka",0,0,0,0,4,2,66.7
"Burnley","Marcus Edwards",0,0,0,0,0,0,NA
"Burnley","Hjalmar Ekdal",1,0,0,1,17,7,70.8
"Burnley","Maxime Estève",5,5,0,0,15,10,60
"Burnley","Zian Flemming",3,0,0,0,3,9,25
"Burnley","Lyle Foster",13,8,6,3,14,28,33.3
"Burnley","Quilindschy Hartman",6,1,1,32,5,7,41.7
"Burnley","Bashir Humphreys",0,0,0,0,0,0,NA
"Burnley","Josh Laurent",5,2,1,3,5,5,50
"Burnley","Florentino Luís",6,1,1,1,4,10,28.6
"Burnley","Hannibal Mejbri",6,10,1,4,0,13,0
"Burnley","Oliver Sonne",1,0,0,3,2,0,100
"Burnley","Loum Tchaouna",3,5,1,4,8,6,57.1
"Burnley","Axel Tuanzebe",1,0,0,0,3,10,23.1
"Burnley","Lesley Ugochukwu",8,6,0,3,5,5,50
"Burnley","Kyle Walker",9,5,0,5,15,11,57.7
"Burnley","Joe Worrall",0,1,0,0,2,0,100
"Chelsea","Joshua Acheampong",1,5,0,0,9,3,75
"Chelsea","Tosin Adarabioyo",3,0,1,0,19,11,63.3
"Chelsea","Benoît Badiashile",0,0,0,0,0,0,NA
"Chelsea","Facundo Buonanotte",0,0,0,0,0,0,NA
"Chelsea","Moisés Caicedo",9,14,0,1,3,6,33.3
