"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Arsenal","David Raya",8,720,0,0,0,0,0,0,0,0,0.1,0.1,0,3,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,NA,0,0,NA,NA,NA,205,283,72.4,0.1,0,-0.1,1,20,1,0,3,0,0,0,0,0,4,1,0,1,0,0,1,0,100,3,0.33,19,16,84.2,6,66.7,0,0,0,0,NA
"Arsenal","Declan Rice",7,633,1,2,3,1,0,0,0.5,0.5,1.2,1.7,22,54,15,0.14,0.28,0.43,0.14,0.43,0.07,0.17,0.24,0.07,1,7,1,14.3,1,0.14,0.14,1,24,443,513,86.4,1.2,1.2,0.8,12,39,8,2,54,6,3,6,3,9,10,0,5,0,0,40,8,5,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Bukayo Saka",5,436,2,0,2,1,1,1,1.3,0.5,1.4,1.9,25,11,68,0.41,0,0.41,0.21,0.21,0.27,0.29,0.56,0.1,2,10,3,30,2.06,0.62,0.1,0.33,19.1,133,192,69.3,1.4,2,-1.4,13,2,11,2,11,7,3,8,1,8,1,1,7,14,4,34,2,4,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","William Saliba",6,499,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,23,3,0,0,0,0,0,0.02,0.01,0.03,0.02,0,1,0,0,0.18,0,0,NA,8.5,443,474,93.5,0.1,0.2,-0.1,1,22,1,0,23,8,3,4,3,11,28,0,5,3,0,1,17,7,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Jurriën Timber",7,612,2,1,3,2,0,0,1.8,1.8,0.6,2.3,14,47,37,0.29,0.15,0.44,0.29,0.44,0.26,0.08,0.34,0.26,2,9,5,55.6,1.32,0.74,0.22,0.4,8.6,300,353,85,0.6,0.6,0.4,10,34,14,1,47,27,15,4,6,33,19,0,10,9,0,11,6,7,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Leandro Trossard",4,374,1,1,2,1,0,0,1.2,1.2,0.3,1.6,11,13,43,0.24,0.24,0.48,0.24,0.48,0.29,0.08,0.38,0.29,1,9,1,11.1,2.17,0.24,0.11,1,8.6,117,172,68,0.3,0.6,0.7,6,6,9,2,13,3,3,2,3,6,2,0,2,4,1,18,2,1,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Ben White",1,70,0,0,0,0,0,0,0,0,0,0.1,1,4,0,0,0,0,0,0,0.02,0.06,0.07,0.02,0,1,0,0,1.29,0,0,NA,29.2,21,27,77.8,0,0,0,1,5,0,0,4,2,1,2,1,3,4,0,2,0,0,1,2,1,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Martín Zubimendi",7,681,2,0,2,2,0,0,0.3,0.3,0.7,0.9,7,48,6,0.26,0,0.26,0.26,0.26,0.04,0.09,0.12,0.04,2,6,2,33.3,0.79,0.26,0.33,1,18.8,431,480,89.8,0.7,0.9,-0.7,6,36,6,0,48,15,9,13,7,22,10,0,11,1,0,3,11,7,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsenal","Martin Ødegaard",4,203,0,1,1,0,0,0,0.1,0.1,0.5,0.6,10,26,5,0,0.44,0.44,0,0.44,0.06,0.2,0.27,0.06,0,4,1,25,1.77,0.44,0,0,21.7,111,140,79.3,0.5,0.8,0.5,3,19,9,0,26,3,1,0,1,4,5,0,2,3,0,5,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Ross Barkley",0,16,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,0,0,0,0,0,0,0.67,0,0.67,0.67,0,1,0,0,5.63,0,0,NA,5.8,7,8,87.5,0,0,0,0,1,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
