"Squad","Player","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"Manchester Utd","Matthijs de Ligt",360,415,86.7,0.5,0.5,-0.5,2,18,4,3,16
"Manchester Utd","Harry Maguire",105,131,80.2,0.4,0,0.6,1,6,0,0,12
"Manchester Utd","Kobbie Mainoo",70,81,86.4,0.2,0.1,-0.2,4,8,2,1,7
"Manchester Utd","Noussair Mazraoui",74,97,76.3,0,0.1,0,0,12,2,2,19
"Manchester Utd","Bryan Mbeumo",220,297,74.1,2.3,2,-1.3,16,12,15,7,20
"Manchester Utd","Mason Mount",88,119,73.9,0.5,0.5,-0.5,6,16,3,0,19
"Manchester Utd","Benjamin Šeško",63,101,62.4,0.3,0.2,0.7,7,5,2,0,9
"Manchester Utd","Luke Shaw",383,456,84,0.1,0.1,0.9,2,30,2,0,34
"Manchester Utd","Manuel Ugarte",122,144,84.7,0,0,0,1,17,0,0,19
"Manchester Utd","Leny Yoro",264,304,86.8,0,0.1,0,1,17,1,1,20
"Manchester Utd","Joshua Zirkzee",29,36,80.6,0,0,0,1,3,0,0,4
"Newcastle Utd","Harvey Barnes",82,113,72.6,0.8,0.9,-0.8,6,6,9,4,16
"Newcastle Utd","Sven Botman",249,289,86.2,0.2,0.3,-0.2,2,3,0,0,12
"Newcastle Utd","Dan Burn",291,411,70.8,0.1,0.2,0.9,3,16,4,1,26
"Newcastle Utd","Anthony Elanga",105,160,65.6,0.6,0.3,-0.6,6,5,6,5,6
"Newcastle Utd","Anthony Gordon",95,127,74.8,1,0.6,-1,7,10,3,1,12
"Newcastle Utd","Bruno Guimarães",296,358,82.7,0.5,0.9,-0.5,11,38,12,0,55
"Newcastle Utd","Lewis Hall",52,78,66.7,0,0,0,0,5,1,0,9
"Newcastle Utd","Joelinton",161,198,81.3,0.9,0.4,-0.9,5,22,1,0,32
"Newcastle Utd","Jamaal Lascelles",6,8,75,0,0,0,0,0,0,0,0
"Newcastle Utd","Valentino Livramento",235,289,81.3,0.2,0.4,0.8,3,24,5,2,24
"Newcastle Utd","Lewis Miley",138,162,85.2,0.3,0.3,0.7,4,10,1,0,10
"Newcastle Utd","Jacob Murphy",95,155,61.3,1.1,0.9,-0.1,4,11,8,3,11
"Newcastle Utd","William Osula",18,21,85.7,0.1,0,-0.1,1,1,0,0,2
"Newcastle Utd","Nick Pope",174,263,66.2,0,0,0,0,0,0,0,0
"Newcastle Utd","Jacob Ramsey",39,43,90.7,0.3,0.1,-0.3,4,1,1,1,5
"Newcastle Utd","Fabian Schär",209,252,82.9,0.1,0.1,-0.1,2,21,1,0,17
"Newcastle Utd","Malick Thiaw",201,230,87.4,0.3,0.3,-0.3,1,16,1,0,24
"Newcastle Utd","Sandro Tonali",370,460,80.4,1.6,1.1,-0.6,14,50,7,2,58
"Newcastle Utd","Kieran Trippier",411,514,80,0.8,0.8,-0.8,14,41,10,2,64
"Newcastle Utd","Joe Willock",15,20,75,0,0,0,0,1,0,0,1
"Newcastle Utd","Nick Woltemade",70,91,76.9,0.2,0.2,-0.2,3,4,3,0,9
"Nott'ham Forest","Ola Aina",125,157,79.6,0.1,0.3,-0.1,2,13,2,1,11
"Nott'ham Forest","Elliot Anderson",569,667,85.3,1.3,1,-0.3,10,68,11,4,71
"Nott'ham Forest","Taiwo Awoniyi",6,7,85.7,0.1,0,-0.1,1,0,0,0,0
"Nott'ham Forest","Dilane Bakwa",72,96,75,0.4,0.3,-0.4,5,3,2,1,9
