player_id,player_name,team_name,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
4,Tommy Setford,Arsenal,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
4,Tommy Setford,Arsenal,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
5,Gabriel dos Santos Magalhães,Arsenal,1,6,90,0,0,1,0,0,22.8,0.3,4.0,2.7,6,1,1,7,1,0.00,0.00,0.00,1.52
5,Gabriel dos Santos Magalhães,Arsenal,2,6,90,0,0,1,0,0,13.4,3.3,6.0,2.3,3,4,0,3,1,0.04,0.01,0.05,0.17
5,Gabriel dos Santos Magalhães,Arsenal,3,2,90,0,0,0,0,0,15.4,1.4,2.0,1.9,6,2,1,7,1,0.02,0.01,0.03,0.52
5,Gabriel dos Santos Magalhães,Arsenal,4,9,90,0,0,1,0,0,28.0,1.3,9.0,3.8,8,3,2,10,1,0.20,0.01,0.21,0.20
5,Gabriel dos Santos Magalhães,Arsenal,5,2,90,0,0,0,0,0,19.6,2.3,0.0,2.2,7,1,1,8,1,0.00,0.01,0.01,0.89
5,Gabriel dos Santos Magalhães,Arsenal,6,13,90,1,0,0,0,0,76.8,2.5,33.0,11.2,16,2,3,19,1,0.22,0.02,0.24,0.61
5,Gabriel dos Santos Magalhães,Arsenal,7,9,90,0,0,1,0,0,24.6,2.0,2.0,2.9,10,0,2,12,1,0.00,0.03,0.03,0.49
5,Gabriel dos Santos Magalhães,Arsenal,8,12,90,0,1,1,0,0,33.4,11.6,15.0,6.0,9,1,0,9,1,0.24,0.02,0.26,0.44
5,Gabriel dos Santos Magalhães,Arsenal,9,9,90,0,0,1,0,0,27.2,11.2,9.0,4.7,9,0,0,9,1,0.10,0.03,0.13,0.47
6,William Saliba,Arsenal,1,9,90,0,0,1,0,0,31.4,0.1,0.0,3.2,10,3,4,14,1,0.00,0.00,0.00,1.52
6,William Saliba,Arsenal,2,6,90,0,0,1,0,0,18.4,2.1,2.0,2.3,5,4,0,5,1,0.00,0.01,0.01,0.17
6,William Saliba,Arsenal,3,1,4,0,0,0,0,0,3.0,0.0,0.0,0.3,3,0,0,3,1,0.00,0.00,0.00,0.00
